iter	Passed	Remaining
476	709	777
477	711	776
478	712	775
479	714	773
480	715	771
481	716	770
482	718	768
483	719	767
484	721	766
485	723	764
486	724	763
487	725	761
488	727	760
489	729	759
490	730	757
491	732	756
492	733	754
493	735	753
494	736	751
495	738	750
496	739	748
497	740	746
498	742	745
499	743	743
500	745	742
501	746	740
502	748	739
503	749	737
504	750	735
505	752	734
506	753	732
507	754	731
508	756	729
509	758	728
510	759	727
511	761	725
512	762	724
513	764	722
514	765	720
515	766	719
516	768	717
517	769	715
518	770	714
519	772	713
520	774	711
521	775	710
522	776	708
523	778	706
524	779	705
525	780	703
526	781	701
527	783	700
528	784	698
529	785	696
530	787	695
531	788	693
532	790	692
533	791	690
534	793	689
535	794	687
536	796	686
537	797	684
538	799	683
539	800	681
540	801	680
541	803	678
542	804	677
543	806	675
544	807	674
545	809	672
546	810	671
547	812	669
548	813	668
549	815	666
550	816	665
551	817	663
552	819	662
553	820	660
554	822	659
555	823	657
556	824	656
557	826	654
558	827	653
559	829	651
560	830	650
561	832	648
562	833	647
563	835	645
564	836	644
565	838	642
566	839	641
567	841	639
568	842	638
569	844	637
570	845	635
571	847	634
572	848	632
573	850	630
574	851	629
575	852	627
576	854	626
577	855	624
578	856	623
579	858	621
580	859	619
581	860	618
582	862	616
583	863	615
584	865	613
585	866	612
586	867	610
587	869	609
588	870	607
589	871	605
590	873	604
591	874	602
592	876	601
593	877	600
594	879	598
595	880	596
596	881	595
597	883	593
598	884	592
599	885	590
600	887	588
601	888	587
602	889	585
603	890	584
604	892	582
605	893	580
606	894	579
607	896	577
608	897	576
609	898	574
610	900	573
611	901	571
612	902	569
613	903	568
614	905	566
615	906	565
616	908	563
617	909	562
618	910	560
619	912	559
620	913	557
621	914	556
622	916	554
623	917	553
624	919	551
625	921	550
626	922	548
627	923	547
628	925	545
629	926	544
630	928	542
631	929	541
632	930	539
633	931	537
634	933	536
635	934	534
636	936	533
637	937	531
638	938	530
639	940	528
640	941	527
641	942	525
642	944	524
643	945	522
644	946	521
645	948	519
646	949	518
647	951	516
648	952	515
649	954	513
650	955	512
651	957	510
652	958	509
653	959	507
654	961	506
655	962	504
656	963	503
657	965	501
658	966	500
659	968	498
660	969	497
661	970	495
662	972	494
663	973	492
664	974	491
665	976	489
666	977	488
667	978	486
668	980	485
669	981	483
670	983	481
671	984	480
672	986	479
673	987	477
674	988	476
675	990	474
676	991	473
677	993	471
678	994	470
679	995	468
680	997	467
681	998	465
682	1000	464
683	1001	462
684	1003	461
685	1004	459
686	1006	458
687	1007	456
688	1008	455
689	1010	454
690	1012	452
691	1013	451
692	1014	449
693	1016	448
694	1017	446
695	1019	445
696	1021	443
697	1022	442
698	1024	441
699	1025	439
700	1027	438
701	1028	436
702	1029	435
703	1031	433
704	1032	432
705	1034	430
706	1035	429
707	1037	427
708	1038	426
709	1040	425
710	1042	423
711	1043	422
712	1045	420
713	1047	419
714	1048	417
715	1049	416
716	1051	414
717	1053	413
718	1054	412
719	1056	410
720	1057	409
721	1059	407
722	1060	406
723	1062	404
724	1063	403
725	1065	401
726	1066	400
727	1068	399
728	1069	397
729	1070	396
730	1072	394
731	1073	393
732	1075	391
733	1076	390
734	1078	388
735	1079	387
736	1081	385
737	1082	384
738	1084	382
739	1085	381
740	1087	380
741	1088	378
742	1090	377
743	1091	375
744	1093	374
745	1094	372
746	1096	371
747	1098	369
748	1099	368
749	1101	367
750	1102	365
751	1104	364
752	1105	362
753	1107	361
754	1108	359
755	1109	358
756	1111	356
757	1113	355
758	1114	353
759	1115	352
760	1117	350
761	1118	349
762	1120	347
763	1121	346
764	1122	344
765	1124	343
766	1125	341
767	1126	340
768	1128	338
769	1129	337
770	1130	335
771	1132	334
772	1133	332
773	1134	331
774	1136	329
775	1138	328
776	1139	327
777	1140	325
778	1142	324
779	1143	322
780	1145	321
781	1146	319
782	1148	318
783	1149	316
784	1150	315
785	1151	313
786	1153	312
787	1155	310
788	1156	309
789	1157	307
790	1159	306
791	1160	304
792	1161	303
793	1163	301
794	1164	300
795	1165	298
796	1166	297
797	1168	295
798	1169	294
799	1171	292
800	1172	291
801	1173	289
802	1174	288
803	1176	286
804	1177	285
805	1178	283
806	1179	282
807	1181	280
808	1182	279
809	1184	277
810	1185	276
811	1186	274
812	1188	273
813	1189	271
814	1190	270
815	1192	268
816	1193	267
817	1195	265
818	1196	264
819	1197	262
820	1199	261
821	1200	260
822	1202	258
823	1203	257
824	1204	255
825	1206	254
826	1207	252
827	1209	251
828	1210	249
829	1211	248
830	1213	246
831	1214	245
832	1215	243
833	1217	242
834	1219	240
835	1220	239
836	1221	237
837	1223	236
838	1224	235
839	1226	233
840	1227	232
841	1229	230
842	1230	229
843	1232	227
844	1233	226
845	1234	224
846	1236	223
