iter	RMSE
0	3.201765492
1	3.095576448
2	2.99730618
3	2.89954537
4	2.805375074
5	2.721956326
6	2.642810801
7	2.572435821
8	2.496212263
9	2.433955759
10	2.373653463
11	2.314002441
12	2.257409572
13	2.200003299
14	2.145773682
15	2.096899858
16	2.048315928
17	2.003645202
18	1.961145434
19	1.91904274
20	1.881311293
21	1.844896813
22	1.810528413
23	1.778650723
24	1.748011364
25	1.717805286
26	1.68832969
27	1.659995087
28	1.637114093
29	1.610932844
30	1.587845358
31	1.562459705
32	1.538755432
33	1.516962084
34	1.495963527
35	1.473426471
36	1.454294516
37	1.435960156
38	1.418139568
39	1.403149651
40	1.386744102
41	1.3708366
42	1.353411737
43	1.338323073
44	1.322756472
45	1.309062385
46	1.294388007
47	1.280438374
48	1.266812331
49	1.254857727
50	1.239563116
51	1.227496291
52	1.214875489
53	1.200119571
54	1.187911026
55	1.175142413
56	1.164072846
57	1.153355578
58	1.142029091
59	1.131323461
60	1.121432199
61	1.111083427
62	1.099697305
63	1.087099276
64	1.076742567
65	1.066237851
66	1.057127825
67	1.047723717
68	1.038237003
69	1.029938315
70	1.019479889
71	1.010370822
72	1.001947238
73	0.9940629066
74	0.9867887482
75	0.9794799834
76	0.9719404992
77	0.9645570451
78	0.9558046366
79	0.9473794665
80	0.9389867814
81	0.9325894695
82	0.9248103962
83	0.9155905474
84	0.9086168252
85	0.9023501192
86	0.8948307403
87	0.8869023441
88	0.8809144063
89	0.8747407407
90	0.8675390477
91	0.8607958208
92	0.8532909495
93	0.847794359
94	0.8407621345
95	0.8329830687
96	0.8271616687
97	0.8208376114
98	0.8162160027
99	0.8111821807
100	0.8046858301
101	0.7989732535
102	0.7930065363
103	0.7871898353
104	0.7785314089
105	0.772247329
106	0.7660677684
107	0.7607487654
108	0.7552533126
109	0.7477680415
110	0.742424954
111	0.7370208249
112	0.7309863275
113	0.7259823719
114	0.7210307288
115	0.7154696832
116	0.7116447319
117	0.7064692244
118	0.701630452
119	0.6973798917
